ID Number,Date,Activity,Start Time,End Time,Sleep Location,Break Location
0656,1/19/2010,C,5:20,5:43,,
0656,1/19/2010,W,5:43,7:27,,
0656,1/19/2010,B,7:27,8:00,,Off train
0656,1/19/2010,W,8:00,9:10,,
0656,1/19/2010,B,9:10,10:04,,Train
0656,1/19/2010,W,10:04,11:09,,
0656,1/19/2010,B,11:09,12:15,,Off train
0656,1/19/2010,W,12:15,13:52,,
0656,1/19/2010,C,13:52,14:15,,
0656,1/19/2010,P,14:15,23:00,,
0656,1/19/2010,S,23:00,5:00,H,
0656,1/20/2010,P,5:00,5:20,,
0656,1/20/2010,C,5:20,5:43,,
0656,1/20/2010,W,5:43,7:27,,
0656,1/20/2010,B,7:27,8:00,,Off train
0656,1/20/2010,W,8:00,9:10,,
0656,1/20/2010,B,9:10,10:04,,Train
0656,1/20/2010,W,10:04,11:09,,
0656,1/20/2010,B,11:09,12:15,,Off train
0656,1/20/2010,W,12:15,13:52,,
0656,1/20/2010,C,13:52,14:15,,
0656,1/20/2010,P,14:15,22:30,,
0656,1/20/2010,S,22:30,5:00,H,
0656,1/21/2010,P,5:00,5:20,,
0656,1/21/2010,C,5:20,5:43,,
0656,1/21/2010,W,5:43,7:27,,
0656,1/21/2010,B,7:27,8:00,,Off train
0656,1/21/2010,W,8:00,9:10,,
0656,1/21/2010,B,9:10,10:04,,Train
0656,1/21/2010,W,10:04,11:09,,
0656,1/21/2010,B,11:09,12:15,,Off train
0656,1/21/2010,W,12:15,13:52,,
0656,1/21/2010,C,13:52,14:15,,
0656,1/21/2010,P,14:15,23:00,,
0656,1/21/2010,S,23:00,5:00,H,
0656,1/22/2010,P,5:00,5:20,,
0656,1/22/2010,C,5:20,5:43,,
0656,1/22/2010,W,5:43,7:27,,
0656,1/22/2010,B,7:27,8:00,,Off train
0656,1/22/2010,W,8:00,9:10,,
0656,1/22/2010,B,9:10,10:04,,Train
0656,1/22/2010,W,10:04,11:09,,
0656,1/22/2010,B,11:09,12:15,,Off train
0656,1/22/2010,W,12:15,13:52,,
0656,1/22/2010,C,13:52,14:15,,
0656,1/22/2010,P,14:15,0:00,,
0656,1/23/2010,S,0:00,7:30,H,
0656,1/23/2010,P,7:30,23:00,,
0656,1/24/2010,P,7:00,22:30,,
0656,1/24/2010,S,22:30,0:00,H,
0659,1/3/2010,S,0:00,7:00,H,
0659,1/3/2010,P,7:00,21:00,,
0659,1/3/2010,S,21:00,3:00,H,
0659,1/4/2010,P,3:00,3:45,,
0659,1/4/2010,C,3:45,4:17,,
0659,1/4/2010,W,4:17,8:30,,
0659,1/4/2010,I,8:30,15:25,,Off train
0659,1/4/2010,W,15:25,17:20,,
0659,1/4/2010,C,17:20,17:35,,
0659,1/4/2010,P,17:35,21:30,,
0659,1/4/2010,S,21:30,3:00,H,
0659,1/5/2010,P,3:00,3:45,,
0659,1/5/2010,C,3:45,4:17,,
0659,1/5/2010,W,4:17,8:30,,
0659,1/5/2010,I,8:30,15:25,,Off train
0659,1/5/2010,W,15:25,17:20,,
0659,1/5/2010,C,17:20,17:35,,
0659,1/5/2010,P,17:35,21:30,,
0659,1/5/2010,S,21:30,3:00,H,
0659,1/6/2010,P,3:00,3:45,,
